example_id                                           | status  | run_time        |
---------------------------------------------------- | ------- | --------------- |
./spec/controllers/posts_controller_spec.rb[1:1:1]   | pending | 0.00088 seconds |
./spec/controllers/posts_controller_spec.rb[1:2:1]   | pending | 0.00079 seconds |
./spec/controllers/posts_controller_spec.rb[1:3:1]   | passed  | 0.0113 seconds  |
./spec/controllers/posts_controller_spec.rb[1:4:1]   | pending | 0.00072 seconds |
./spec/controllers/posts_controller_spec.rb[1:5:1:1] | pending | 0.0039 seconds  |
./spec/controllers/posts_controller_spec.rb[1:5:1:2] | pending | 0.00076 seconds |
./spec/controllers/posts_controller_spec.rb[1:5:1:3] | pending | 0.00085 seconds |
./spec/controllers/posts_controller_spec.rb[1:5:2:1] | pending | 0.00078 seconds |
./spec/controllers/posts_controller_spec.rb[1:5:2:2] | pending | 0.00077 seconds |
./spec/controllers/posts_controller_spec.rb[1:6:1:1] | pending | 0.00076 seconds |
./spec/controllers/posts_controller_spec.rb[1:6:1:2] | pending | 0.00076 seconds |
./spec/controllers/posts_controller_spec.rb[1:6:1:3] | pending | 0.00077 seconds |
./spec/controllers/posts_controller_spec.rb[1:6:2:1] | pending | 0.00075 seconds |
./spec/controllers/posts_controller_spec.rb[1:6:2:2] | pending | 0.0008 seconds  |
./spec/controllers/posts_controller_spec.rb[1:7:1]   | pending | 0.00075 seconds |
./spec/controllers/posts_controller_spec.rb[1:7:2]   | pending | 0.00073 seconds |
./spec/models/post_spec.rb[1:1:1]                    | passed  | 0.0012 seconds  |
./spec/models/post_spec.rb[1:1:2]                    | passed  | 0.0005 seconds  |
./spec/models/post_spec.rb[1:2:1]                    | passed  | 0.00328 seconds |
./spec/requests/posts_spec.rb[1:1:1]                 | passed  | 0.16197 seconds |
./spec/routing/posts_routing_spec.rb[1:1:1]          | passed  | 0.00067 seconds |
./spec/routing/posts_routing_spec.rb[1:1:2]          | passed  | 0.00075 seconds |
./spec/routing/posts_routing_spec.rb[1:1:3]          | passed  | 0.00084 seconds |
./spec/routing/posts_routing_spec.rb[1:1:4]          | passed  | 0.00081 seconds |
./spec/routing/posts_routing_spec.rb[1:1:5]          | passed  | 0.00064 seconds |
./spec/routing/posts_routing_spec.rb[1:1:6]          | passed  | 0.00079 seconds |
./spec/routing/posts_routing_spec.rb[1:1:7]          | passed  | 0.00081 seconds |
./spec/routing/posts_routing_spec.rb[1:1:8]          | passed  | 0.0017 seconds  |
./spec/rspec_glob_spec.rb[1:1]                       | passed  | 0.00034 seconds |
./spec/rspec_glob_spec.rb[1:2]                       | passed  | 0.00059 seconds |
./spec/views/posts/edit.html.erb_spec.rb[1:1]        | passed  | 0.03257 seconds |
./spec/views/posts/index.html.erb_spec.rb[1:1]       | passed  | 0.02098 seconds |
./spec/views/posts/new.html.erb_spec.rb[1:1]         | passed  | 0.04624 seconds |
./spec/views/posts/show.html.erb_spec.rb[1:1]        | passed  | 0.01612 seconds |
